년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018/12/28,"60,500","-1,100","1,647,462","100,586,317,600","61,700","62,300","60,500","44,044,143","728,002,365"
2018/12/27,"61,600","1,500","3,047,798","187,156,851,900","61,600","61,900","60,600","44,844,946","728,002,365"
2018/12/26,"60,100","-300","2,455,060","147,785,954,700","59,400","60,800","59,300","43,752,942","728,002,365"
2018/12/24,"60,400","400","2,101,703","126,479,855,300","59,600","60,700","59,200","43,971,343","728,002,365"
2018/12/21,"60,000","1,400","3,946,994","236,398,099,100","58,200","60,500","58,200","43,680,142","728,002,365"
2018/12/20,"58,600","-1,700","4,889,709","286,886,618,423","59,300","59,400","58,100","42,660,939","728,002,365"
2018/12/19,"60,300","-800","3,561,783","214,394,949,384","60,800","61,000","59,700","43,898,543","728,002,365"
2018/12/18,"61,100","-1,100","3,098,206","189,538,152,100","61,000","61,900","60,800","44,480,945","728,002,365"
2018/12/17,"62,200","400","2,506,287","155,363,002,300","61,600","62,500","61,000","45,281,747","728,002,365"
2018/12/14,"61,800","-3,700","5,617,675","350,130,863,800","65,200","65,300","61,200","44,990,546","728,002,365"
2018/12/13,"65,500","-700","4,062,323","266,371,212,900","66,300","66,400","64,800","47,684,155","728,002,365"
2018/12/12,"66,200","1,300","2,901,875","190,428,548,724","65,000","66,200","64,900","48,193,757","728,002,365"
2018/12/11,"64,900","-600","2,457,332","160,514,206,662","66,000","66,600","64,800","47,247,353","728,002,365"
2018/12/10,"65,500","-1,300","2,206,084","143,790,359,100","65,900","65,900","64,700","47,684,155","728,002,365"
2018/12/07,"66,800","800","2,590,733","173,420,398,207","66,700","67,400","66,600","48,630,558","728,002,365"
2018/12/06,"66,000","-2,200","3,902,275","259,458,349,330","67,800","68,200","65,700","48,048,156","728,002,365"
2018/12/05,"68,200","-800","3,008,950","204,662,787,308","67,200","68,800","67,200","49,649,761","728,002,365"
2018/12/04,"69,000","-1,500","3,222,060","222,470,121,500","69,900","70,400","68,400","50,232,163","728,002,365"
2018/12/03,"70,500","900","2,760,290","194,484,746,897","71,000","71,100","69,800","51,324,167","728,002,365"
2018/11/30,"69,600","-1,900","4,167,055","290,568,707,700","71,500","71,600","68,800","50,668,965","728,002,365"
2018/11/29,"71,500","-400","3,270,078","236,884,886,300","73,700","73,700","71,200","52,052,169","728,002,365"
2018/11/28,"71,900","1,100","2,441,991","174,586,802,599","71,000","72,000","70,700","52,343,370","728,002,365"
2018/11/27,"70,800","-100","2,293,763","161,437,355,900","71,100","71,200","69,700","51,542,567","728,002,365"
2018/11/26,"70,900","1,600","2,361,766","166,558,264,300","69,200","71,300","69,000","51,615,368","728,002,365"
2018/11/23,"69,300","0","1,499,166","103,455,071,100","69,500","69,700","68,400","50,450,564","728,002,365"
2018/11/22,"69,300","1,200","1,966,126","135,868,541,400","68,100","69,700","68,000","50,450,564","728,002,365"
2018/11/21,"68,100","600","3,100,596","209,051,981,400","66,900","68,300","66,100","49,576,961","728,002,365"
2018/11/20,"67,500","-2,300","3,325,563","224,462,036,950","67,000","68,200","67,000","49,140,160","728,002,365"
2018/11/19,"69,800","-300","2,303,677","160,209,436,900","69,600","70,500","68,900","50,814,565","728,002,365"
2018/11/16,"70,100","-1,700","2,894,513","206,073,440,300","72,600","72,900","70,000","51,032,966","728,002,365"
2018/11/15,"71,800","1,400","1,564,647","111,117,577,600","70,800","71,800","70,400","52,270,570","728,002,365"
2018/11/14,"70,400","-1,500","2,783,377","196,825,283,300","71,400","72,100","70,200","51,251,366","728,002,365"
2018/11/13,"71,900","-2,600","4,730,929","335,859,747,914","72,300","72,500","69,900","52,343,370","728,002,365"
2018/11/12,"74,500","1,600","3,328,433","244,857,875,400","72,200","74,500","71,800","54,236,176","728,002,365"
2018/11/09,"72,900","0","3,414,946","248,274,510,800","72,400","73,600","71,900","53,071,372","728,002,365"
2018/11/08,"72,900","2,100","3,930,969","286,589,728,800","72,900","73,300","72,600","53,071,372","728,002,365"
2018/11/07,"70,800","700","3,770,119","268,229,921,900","70,400","72,300","70,100","51,542,567","728,002,365"
2018/11/06,"70,100","-400","2,624,868","182,737,193,700","70,500","70,600","69,100","51,032,966","728,002,365"
2018/11/05,"70,500","-2,100","3,389,386","239,522,513,500","72,000","72,100","70,100","51,324,167","728,002,365"
2018/11/02,"72,600","4,300","5,334,082","379,044,040,000","70,600","72,800","69,100","52,852,972","728,002,365"
2018/11/01,"68,300","100","3,218,076","220,677,687,560","68,900","69,600","67,800","49,722,562","728,002,365"
2018/10/31,"68,200","0","5,038,931","347,142,985,000","69,300","70,400","67,600","49,649,761","728,002,365"
2018/10/30,"68,200","1,400","6,101,533","422,638,767,500","66,000","70,900","65,900","49,649,761","728,002,365"
2018/10/29,"66,800","-200","4,252,977","282,240,749,100","66,600","67,800","64,800","48,630,558","728,002,365"
2018/10/26,"67,000","2,300","6,211,406","404,482,375,900","65,100","67,100","62,900","48,776,158","728,002,365"
2018/10/25,"64,700","-2,000","5,859,332","377,922,887,455","64,700","66,000","63,200","47,101,753","728,002,365"
2018/10/24,"66,700","-2,400","5,703,361","382,389,118,800","69,400","69,600","65,800","48,557,758","728,002,365"
2018/10/23,"69,100","-900","3,175,869","219,820,230,304","69,600","70,000","68,600","50,304,963","728,002,365"
2018/10/22,"70,000","-800","2,377,240","166,750,967,550","69,600","70,900","69,600","50,960,166","728,002,365"
2018/10/19,"70,800","2,100","2,688,930","187,609,602,300","68,100","70,900","67,800","51,542,567","728,002,365"
2018/10/18,"68,700","-1,700","2,849,229","196,998,334,500","69,600","69,900","68,700","50,013,762","728,002,365"
2018/10/17,"70,400","700","2,653,053","187,955,766,800","71,400","71,700","70,300","51,251,366","728,002,365"
2018/10/16,"69,700","-600","2,211,661","155,030,338,800","70,300","71,000","69,600","50,741,765","728,002,365"
2018/10/15,"70,300","-2,100","3,727,297","263,149,625,164","71,600","71,700","69,900","51,178,566","728,002,365"
2018/10/12,"72,400","3,400","4,882,184","350,547,755,500","69,200","73,200","69,200","52,707,371","728,002,365"
2018/10/11,"69,000","-1,300","4,936,490","341,178,322,681","67,600","70,200","67,500","50,232,163","728,002,365"
2018/10/10,"70,300","-900","4,161,114","292,827,905,172","70,300","71,100","69,800","51,178,566","728,002,365"
2018/10/08,"71,200","900","2,856,291","203,125,709,520","69,500","71,800","69,400","51,833,768","728,002,365"
2018/10/05,"70,300","300","5,508,014","387,223,507,828","69,700","71,100","69,400","51,178,566","728,002,365"
2018/10/04,"70,000","-1,700","5,778,810","407,564,848,400","71,700","72,200","69,800","50,960,166","728,002,365"
2018/10/02,"71,700","-2,000","4,089,558","296,476,306,100","73,600","74,000","71,600","52,197,770","728,002,365"
2018/10/01,"73,700","600","2,970,456","219,263,720,800","74,300","74,600","73,200","53,653,774","728,002,365"
2018/09/28,"73,100","-1,900","5,824,873","432,567,189,665","75,300","75,900","73,100","53,216,973","728,002,365"
2018/09/27,"75,000","-1,700","5,841,083","439,298,015,100","75,900","75,900","74,700","54,600,177","728,002,365"
2018/09/21,"76,700","-2,400","5,678,068","435,679,405,900","77,100","77,500","76,300","55,837,781","728,002,365"
2018/09/20,"79,100","300","3,392,490","268,695,007,700","78,600","79,900","78,000","57,584,987","728,002,365"
2018/09/19,"78,800","800","2,912,259","229,771,515,851","79,400","79,700","78,400","57,366,586","728,002,365"
2018/09/18,"78,000","800","2,450,163","190,007,630,572","76,600","78,300","76,100","56,784,184","728,002,365"
2018/09/17,"77,200","-500","2,252,063","174,078,548,948","78,000","78,200","76,700","56,201,783","728,002,365"
